epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,3529.85,0.63891,0.82616,1.15612,0.70325,0.62036,0.70257,0.54084,0.80629,1.00751,1.16974,0.0011222,0.0011222,0.0011222
135,3556.19,0.6414,0.812,1.16536,0.69709,0.62304,0.70776,0.53497,0.82261,1.01431,1.18978,0.0011156,0.0011156,0.0011156
136,3582.5,0.63655,0.80893,1.16364,0.74648,0.5961,0.71068,0.54411,0.81692,1.00198,1.18395,0.001109,0.001109,0.001109
137,3608.91,0.63219,0.80917,1.1518,0.67645,0.63351,0.68982,0.52784,0.83365,1.04315,1.19353,0.0011024,0.0011024,0.0011024
138,3635.31,0.64258,0.8116,1.15221,0.67422,0.66097,0.71275,0.53582,0.83784,1.01519,1.2187,0.0010958,0.0010958,0.0010958
139,3661.75,0.62915,0.79773,1.15554,0.6906,0.63884,0.7039,0.53555,0.84362,0.99373,1.21453,0.0010892,0.0010892,0.0010892
140,3688.2,0.62356,0.7951,1.14931,0.67732,0.66143,0.71871,0.54807,0.81976,1.02632,1.20254,0.0010826,0.0010826,0.0010826
141,3714.63,0.66165,0.8264,1.17265,0.67171,0.65445,0.70443,0.54476,0.8103,1.03893,1.19646,0.001076,0.001076,0.001076
142,3741.03,0.61802,0.78174,1.14732,0.65114,0.64747,0.69795,0.54189,0.81179,1.021,1.20491,0.0010694,0.0010694,0.0010694
143,3767.36,0.63658,0.81158,1.16235,0.6834,0.63525,0.70573,0.53511,0.8279,1.03096,1.18987,0.0010628,0.0010628,0.0010628
144,3793.7,0.62355,0.8041,1.14523,0.68359,0.63002,0.70716,0.53169,0.84776,1.02392,1.22025,0.0010562,0.0010562,0.0010562
145,3820.01,0.62632,0.78518,1.15893,0.66469,0.65271,0.71733,0.55194,0.80615,1.00222,1.19558,0.0010496,0.0010496,0.0010496
146,3846.41,0.63492,0.79062,1.15859,0.73981,0.61431,0.71611,0.54525,0.82221,0.99754,1.19282,0.001043,0.001043,0.001043
147,3872.8,0.64227,0.81097,1.15879,0.70944,0.63525,0.71953,0.55457,0.80754,0.98735,1.18482,0.0010364,0.0010364,0.0010364
148,3899.21,0.62787,0.79368,1.14774,0.70874,0.63351,0.71584,0.5495,0.80955,0.9941,1.20024,0.0010298,0.0010298,0.0010298
149,3925.57,0.62842,0.7876,1.14684,0.65722,0.65969,0.68648,0.51894,0.80222,1.03126,1.1915,0.0010232,0.0010232,0.0010232
150,3951.99,0.63518,0.79828,1.15224,0.64795,0.66841,0.69508,0.52111,0.82805,1.03209,1.2056,0.0010166,0.0010166,0.0010166
151,3978.39,0.63979,0.79401,1.15952,0.66637,0.64049,0.68722,0.51716,0.81622,1.03108,1.18698,0.00101,0.00101,0.00101
152,4004.74,0.63967,0.77793,1.16178,0.63245,0.67888,0.71702,0.55299,0.80524,1.01285,1.17993,0.0010034,0.0010034,0.0010034
153,4031.11,0.64774,0.83184,1.16271,0.66721,0.6473,0.70432,0.53986,0.81407,1.00133,1.19712,0.0009968,0.0009968,0.0009968
154,4057.49,0.6224,0.78354,1.16077,0.66515,0.6719,0.71567,0.54514,0.80246,1.00588,1.18753,0.0009902,0.0009902,0.0009902
155,4083.86,0.60879,0.76276,1.14439,0.6652,0.68063,0.71555,0.55132,0.79032,1.00627,1.16935,0.0009836,0.0009836,0.0009836
156,4110.18,0.61297,0.75412,1.14018,0.65398,0.66958,0.71363,0.55584,0.7788,0.9834,1.16245,0.000977,0.000977,0.000977
157,4136.59,0.63453,0.79,1.14985,0.66882,0.64049,0.69492,0.52873,0.81313,1.06727,1.19567,0.0009704,0.0009704,0.0009704
158,4162.98,0.62138,0.77705,1.15145,0.7842,0.57592,0.70679,0.54956,0.8013,0.9937,1.18642,0.0009638,0.0009638,0.0009638
159,4189.34,0.62339,0.76803,1.13644,0.65646,0.66143,0.69491,0.53953,0.78663,1.01868,1.17185,0.0009572,0.0009572,0.0009572
160,4215.75,0.612,0.7577,1.14322,0.68835,0.65969,0.71444,0.55845,0.79455,0.97274,1.18839,0.0009506,0.0009506,0.0009506
161,4242.06,0.59443,0.76053,1.13039,0.62125,0.68237,0.70601,0.55118,0.78652,1.01064,1.16638,0.000944,0.000944,0.000944
162,4268.47,0.61872,0.77449,1.14077,0.71863,0.59729,0.70921,0.54459,0.79669,1.01542,1.18563,0.0009374,0.0009374,0.0009374
163,4294.88,0.60607,0.76202,1.13134,0.66301,0.64207,0.69548,0.53656,0.81167,1.03582,1.17686,0.0009308,0.0009308,0.0009308
164,4321.31,0.60586,0.76725,1.12877,0.69543,0.63351,0.71347,0.55264,0.79651,1.00742,1.17818,0.0009242,0.0009242,0.0009242
165,4347.61,0.61586,0.76232,1.13507,0.67546,0.65271,0.70095,0.53698,0.82339,1.03789,1.185,0.0009176,0.0009176,0.0009176
166,4374.01,0.60521,0.76821,1.13271,0.69897,0.61998,0.70609,0.54061,0.80134,1.022,1.18046,0.000911,0.000911,0.000911
167,4400.44,0.60861,0.76225,1.13651,0.72533,0.60908,0.7135,0.55438,0.77884,1.00181,1.1665,0.0009044,0.0009044,0.0009044
168,4426.74,0.59947,0.75269,1.13002,0.68182,0.66143,0.70606,0.54653,0.78027,1.03578,1.16261,0.0008978,0.0008978,0.0008978
169,4453.12,0.59803,0.72867,1.12714,0.74841,0.58639,0.71045,0.55539,0.77571,0.9998,1.15901,0.0008912,0.0008912,0.0008912
170,4479.6,0.60693,0.74708,1.13902,0.71398,0.60209,0.69814,0.53893,0.81495,1.01603,1.19131,0.0008846,0.0008846,0.0008846
171,4505.91,0.59905,0.76764,1.13492,0.65735,0.67539,0.72746,0.56741,0.76339,0.95029,1.15633,0.000878,0.000878,0.000878
172,4532.29,0.60249,0.76139,1.13024,0.7046,0.64105,0.72212,0.5519,0.80002,1.01647,1.17315,0.0008714,0.0008714,0.0008714
173,4558.63,0.58087,0.70787,1.11304,0.6545,0.67775,0.71817,0.55558,0.78507,0.99851,1.16968,0.0008648,0.0008648,0.0008648
174,4585.01,0.60337,0.74486,1.13867,0.67466,0.65096,0.70634,0.53892,0.81813,1.01393,1.19288,0.0008582,0.0008582,0.0008582
175,4611.4,0.59066,0.74262,1.12466,0.67952,0.66143,0.71901,0.55205,0.7867,1.00565,1.17852,0.0008516,0.0008516,0.0008516
176,4637.74,0.60586,0.74601,1.1251,0.70699,0.62827,0.70754,0.53912,0.81171,1.01047,1.20163,0.000845,0.000845,0.000845
177,4664.06,0.5996,0.73248,1.11846,0.7275,0.61968,0.70939,0.54655,0.80228,1.03242,1.1915,0.0008384,0.0008384,0.0008384
178,4690.47,0.59127,0.741,1.13294,0.65852,0.65271,0.70174,0.54148,0.80664,1.01604,1.1864,0.0008318,0.0008318,0.0008318
179,4716.73,0.57841,0.73125,1.12456,0.68881,0.64223,0.70558,0.55222,0.76357,0.98169,1.15,0.0008252,0.0008252,0.0008252
180,4743.03,0.6168,0.75311,1.14166,0.69944,0.65386,0.71027,0.55032,0.79335,0.98914,1.18054,0.0008186,0.0008186,0.0008186
181,4769.38,0.58959,0.74044,1.13971,0.71292,0.62304,0.71425,0.55356,0.80822,0.99585,1.18622,0.000812,0.000812,0.000812
